AveragePolicyStd,LossAfter,ProcessExecTime,AbsLearnSignal,NumTrajs,AbsLearnSignalNew,PolicyExecTime,EnvExecTime,AverageQ,Time,ExplainedVariance,AverageAbsQYDiff,MeanKL,MinReturn,ItrTime,dLoss,Entropy,Perplexity,LossBefore,AverageY,MeanKLBefore,AbsLearnSignalOld,AverageAbsY,AverageAbsQ,StdReturn,MaxReturn,AverageReturn,Iteration,AverageQLoss,AverageDiscountedReturn
0.999537,-166.541,0.16154718399047852,0.674058382668,68,0.674058382668,1.1197876930236816,8.721957445144653,165.333,2794.509708404541,0.321969698827,6.1120985665,0.00968361,184.514687371,55.61480712890625,0.104599,24.114,2.96863e+10,-166.437,165.346933139,0.0,0.673548587402,165.353674995,165.361,99.943089482,618.356921828,366.456441149,50,74.7504,253.625737062
0.999395,-172.097,0.14679288864135742,0.245529622629,63,0.245529622629,1.123715877532959,8.763359308242798,165.745,2849.211080312729,-4.27855987978,6.06284574063,0.00998556,207.239529877,54.57769417762756,0.0886536,24.1115,2.96149e+10,-172.009,165.755958317,0.0,0.245536821665,165.761592977,165.771,109.291066666,720.0365772,387.015648161,51,73.4627,261.389340312
0.99961,-163.411,0.1515519618988037,0.678701290959,69,0.678701290959,1.1095139980316162,8.890796184539795,165.72,2905.0079820156097,0.208308713143,6.05663697266,0.00973762,194.914118464,55.67050623893738,0.191833,24.1152,2.9723e+10,-163.219,165.732977846,0.0,0.678865688139,165.737850233,165.744,80.1776341707,570.888774613,365.095721686,52,74.3171,253.964001177
0.999658,-169.639,0.14819955825805664,0.749947948836,66,0.749947948836,1.1094353199005127,8.678892135620117,166.282,2960.558604001999,0.53492872664,6.03685550804,0.00990269,193.027570874,55.42867112159729,0.1147,24.116,2.97472e+10,-169.524,166.295240382,0.0,0.750344895219,166.301472904,166.312,109.149271795,727.844972618,369.09779015,53,73.6517,253.268265214
0.999675,-167.327,0.14679527282714844,0.645976718391,65,0.645976718391,1.0810234546661377,8.58530044555664,166.197,3017.0112097263336,0.164363804902,5.97927207364,0.00991941,180.804159586,56.329286336898804,0.107086,24.1163,2.97566e+10,-167.22,166.207807905,0.0,0.645939946082,166.213366601,166.224,113.977299591,819.758829127,377.518246665,54,72.5915,257.204408838
0.999738,-172.675,0.14775490760803223,0.721018123635,63,0.721018123635,1.1075658798217773,8.820924282073975,166.919,3072.920422077179,0.487910952967,5.98128327442,0.00988933,233.742825169,55.78143501281738,0.105209,24.1174,2.9788e+10,-172.57,166.934246814,0.0,0.720667291764,166.941066904,166.949,93.2595954964,639.669905716,392.702878739,55,72.7291,265.775251016
0.999629,-169.423,0.15004539489746094,0.692185627711,63,0.692185627711,1.1091339588165283,8.876270294189453,166.555,3128.862272977829,0.514183780219,5.93981057707,0.00651224,205.184448084,55.81687808036804,0.0814972,24.1155,2.9733e+10,-169.341,166.565830305,0.0,0.691703926423,166.573120963,166.587,99.8246898266,683.222334251,386.839710199,56,71.3598,262.43487546
0.999542,-173.122,0.15201091766357422,0.680602342702,64,0.680602342702,1.1398119926452637,8.931314468383789,166.517,3184.9243416786194,0.467256067803,5.91249352866,0.00983682,188.163435878,55.9365029335022,0.117325,24.1141,2.96896e+10,-173.005,166.530443624,0.0,0.679923658486,166.537414479,166.545,125.083216067,777.050184203,387.584560466,57,71.1328,260.388386998
0.999461,-170.421,0.14937496185302734,0.248957071128,62,0.248957071128,1.112701177597046,8.82832646369934,166.688,3240.3715341091156,-6.38287583155,5.89837910129,0.00832939,205.064691521,55.31881785392761,0.0995178,24.1127,2.96484e+10,-170.322,166.699971905,0.0,0.24897880231,166.706313365,166.715,117.726486827,777.338980732,391.644285832,58,70.9261,262.165468423
0.99949,-173.08,0.14700102806091309,0.587860211706,63,0.587860211706,1.099266767501831,8.778650760650635,166.713,3296.334968328476,-0.335721484238,5.87136740014,0.00642122,203.02659809,55.83618927001953,0.0847778,24.1132,2.96634e+10,-172.995,166.72608677,0.0,0.587996624974,166.731525233,166.738,113.17809793,766.104965717,385.150290139,59,70.2073,260.415231163
0.999489,-167.748,0.15006256103515625,0.581037529673,66,0.581037529673,1.1054630279541016,8.924328088760376,167.028,3352.9351031780243,-0.538427246961,5.86358528795,0.00989365,211.178347429,56.479918003082275,0.116776,24.1132,2.96626e+10,-167.631,167.039416861,0.0,0.580890569986,167.044556337,167.053,87.371849011,625.059976269,371.787223747,60,70.2688,255.850620094
0.999513,-166.296,0.14726996421813965,0.704378222044,65,0.704378222044,1.0933988094329834,8.86339545249939,166.908,3408.07249045372,0.494346888463,5.85714330566,0.0064196,177.136648958,55.01701378822327,0.0961914,24.1136,2.96744e+10,-166.199,166.920587611,0.0,0.704082714776,166.924275367,166.929,110.979951777,745.83444065,373.80716949,61,70.4772,255.035751212
0.99954,-169.73,0.14927268028259277,0.637530653932,64,0.637530653932,1.1075356006622314,8.946346044540405,167.269,3463.644368171692,-0.0550439314861,5.84874091915,0.00990712,214.607565256,55.44877529144287,0.104309,24.114,2.96886e+10,-169.625,167.282206215,0.0,0.63792091237,167.2874959,167.296,95.6267286538,613.113785185,381.523963362,62,70.1013,260.239482609
0.999543,-175.682,0.15006279945373535,0.684943439479,68,0.684943439479,1.106489658355713,8.901866436004639,167.111,3518.665500640869,0.449926523451,5.87541028633,0.00978502,176.581121932,54.89524841308594,0.106384,24.1141,2.96901e+10,-175.575,167.121738708,0.0,0.684944438785,167.126658097,167.137,127.007794797,855.515406309,361.075487727,63,70.9421,247.613710473
0.99962,-170.106,0.14929676055908203,0.714274902525,68,0.714274902525,1.1097636222839355,8.952898979187012,167.529,3573.9665129184723,0.0100813523378,5.85382827625,0.00976653,185.538026137,55.1720917224884,0.106628,24.1154,2.97289e+10,-169.999,167.538839365,0.0,0.713994852643,167.543604141,167.551,105.155155159,772.002213524,354.013728866,64,70.6883,245.762281388
0.999631,-175.83,0.149064302444458,0.712950517711,64,0.712950517711,1.1182596683502197,8.930654525756836,167.777,3629.3153159618378,0.319391786392,5.85056085193,0.00990273,181.365611932,55.22189903259277,0.107498,24.1156,2.97344e+10,-175.723,167.790095316,0.0,0.712924815324,167.795666926,167.806,139.154425322,836.6027751,382.714710768,65,70.3957,256.075732198
0.999486,-177.741,0.14812397956848145,0.670135737624,63,0.670135737624,1.1148862838745117,8.897430181503296,168.042,3685.428250312805,0.2347313476,5.82366661649,0.00984129,213.90588409,55.98593807220459,0.103241,24.1131,2.9661e+10,-177.638,168.053094672,0.0,0.670246157393,168.059498161,168.07,120.458599842,716.797788923,383.883312757,66,69.676,258.726715919
