NumTrajs,LossBefore,Perplexity,Time,AverageQ,AbsLearnSignal,MinReturn,StdReturn,PolicyExecTime,AveragePolicyStd,AverageReturn,AverageAbsQ,Iteration,ExplainedVariance,AverageQLoss,AverageAbsQYDiff,ProcessExecTime,AbsLearnSignalOld,AverageAbsY,EnvExecTime,MaxReturn,AverageY,AverageDiscountedReturn,MeanKL,LossAfter,Entropy,MeanKLBefore,AbsLearnSignalNew,dLoss,ItrTime
70,-225.622,2.96949e+10,11853.371454000473,252.394,0.086123666322,230.932668694,57.2709958758,1.0152409076690674,0.999556,334.26646031,254.119,215,-209.030663578,1531.35,12.447262107,0.12961196899414062,0.0860652445485,255.520010119,9.622737884521484,538.076044111,252.454666855,237.226384069,0.00947341,-225.918,24.1142,0.0,0.086123666322,0.296097,56.220030069351196
73,-220.709,2.96855e+10,11910.034926652908,253.065,0.736591383971,206.971524649,60.0396413992,1.0385053157806396,0.999538,324.454783911,254.644,216,0.866820347249,1160.31,11.48036826,0.13257408142089844,0.733748810036,255.597734747,9.736362218856812,492.232531177,253.121720406,232.473681688,0.00999368,-220.989,24.1139,0.0,0.736591383971,0.280151,56.52735114097595
69,-222.708,2.9682e+10,11966.609453678131,253.317,0.582503058888,244.593544171,55.0630152654,1.0598835945129395,0.999531,349.469185911,254.293,217,0.79151105319,792.137,10.554360128,0.13129591941833496,0.579299652588,254.997023246,9.822105646133423,512.526191733,253.367478437,245.422011784,0.0099815,-222.969,24.1138,0.0,0.582503058888,0.260651,56.439769983291626
67,-227.4,2.96923e+10,12022.627625465393,251.905,0.431950491843,247.93944921,60.8654969958,1.0126080513000488,0.999551,354.565828832,252.825,218,0.669154311999,711.634,10.0344124401,0.12912368774414062,0.428638577937,253.496421787,9.599564552307129,570.074404309,251.949670427,247.426938073,0.00998511,-227.656,24.1142,0.0,0.431950491843,0.255875,55.89033079147339
69,-226.543,2.96981e+10,12079.005775928497,249.526,0.514494500198,247.429605484,64.400554408,1.0460853576660156,0.999563,352.998255619,250.203,219,0.689167361313,681.039,9.64996989934,0.13239073753356934,0.512658551455,250.816753994,9.802326440811157,546.135331155,249.575424419,247.116937169,0.00993151,-226.766,24.1143,0.0,0.514494500198,0.22319,56.24229717254639
67,-226.115,2.97337e+10,12135.563275575638,246.762,0.154040256588,260.952586454,69.3211232588,1.0146551132202148,0.999633,359.278610621,247.155,220,-69.944875577,422.129,8.8282279337,0.13044142723083496,0.153936478834,247.480377149,9.578748226165771,538.20946135,246.801048982,249.65703274,0.00952378,-226.332,24.1155,0.0,0.154040256588,0.21727,56.42196297645569
65,-221.873,2.96969e+10,12192.856612443924,242.738,0.550059530991,256.266487812,76.7525922749,1.048701286315918,0.99956,370.910636637,242.983,221,0.650344306586,423.011,8.56851822041,0.1341111660003662,0.548137743118,243.337197152,9.81386947631836,578.001600471,242.777718784,254.711738945,0.00997094,-222.076,24.1143,0.0,0.550059530991,0.202194,57.1513466835022
61,-227.12,2.96968e+10,12250.74447965622,237.725,0.368843371401,274.940587052,78.2528590981,1.0968265533447266,0.99956,398.559822961,237.986,222,-0.231221583053,378.344,8.46668227751,0.13810324668884277,0.367828686072,238.307828909,10.103617429733276,625.980943796,237.759808037,267.225264232,0.00640167,-227.285,24.1143,0.0,0.368843371401,0.165054,57.748626947402954
61,-228.7,2.96738e+10,12308.600481271744,232.404,0.40286585445,287.466083618,94.9315401858,1.0909833908081055,0.999515,404.566930281,232.639,223,0.426650537669,280.139,8.16345777708,0.13637924194335938,0.402132158909,232.837369499,10.01948595046997,805.829428572,232.429866672,269.292156897,0.00967877,-228.904,24.1135,0.0,0.40286585445,0.204483,57.71965289115906
59,-218.191,2.97013e+10,12368.722531080246,227.459,0.105677231694,272.603220066,69.5011725971,1.2425453662872314,0.99957,410.556477906,227.706,224,-353.950807569,214.739,7.87665942104,0.15635371208190918,0.105675171716,227.831193587,10.726142883300781,607.400103706,227.486692352,272.53124766,0.0099895,-218.389,24.1145,0.0,0.105677231694,0.198318,59.97664499282837
