AverageQ,AverageAbsY,EnvExecTime,MaxReturn,PolicyExecTime,AbsLearnSignalNew,StdReturn,MinReturn,LossAfter,AverageDiscountedReturn,Entropy,AbsLearnSignal,AverageAbsQ,NumTrajs,ItrTime,Iteration,ProcessExecTime,LossBefore,ExplainedVariance,dLoss,MeanKL,AbsLearnSignalOld,Perplexity,AverageQLoss,Time,MeanKLBefore,AverageY,AveragePolicyStd,AverageAbsQYDiff,AverageReturn
163.6,163.63071874,9.118799448013306,580.768775433,1.0569941997528076,0.284679695017,88.9883806621,183.720016953,-171.736,252.2690668,24.1084,0.284679695017,163.638,63,53.031646966934204,59,0.13970470428466797,-171.61,-3.20948026055,0.12645,0.00996495,0.284377017474,2.95219e+10,81.6891,3207.885867357254,0.0,163.613899863,0.999211,6.35587557176,370.032432085
163.884,163.910724095,9.097908735275269,688.35686063,1.0568139553070068,0.260961115463,96.1881812877,227.42008776,-169.062,250.32972769,24.1072,0.260961115463,163.915,64,53.11569952964783,60,0.13871359825134277,-168.953,-4.36734793243,0.109039,0.00901317,0.260793126519,2.9486e+10,81.4293,3261.142040491104,0.0,163.899366487,0.99914,6.34950427679,366.143444005
164.185,164.213854126,9.08831238746643,627.524865521,1.0355544090270996,0.505626672831,97.5127334436,226.430161606,-175.486,262.872107958,24.1064,0.505626672831,164.217,60,53.53217935562134,61,0.13523101806640625,-175.373,0.0257905386531,0.112793,0.00968283,0.505337878586,2.94626e+10,82.791,3314.8029837608337,0.0,164.200009496,0.999092,6.38136327851,393.378373023
164.706,164.735189036,9.16349196434021,683.317496232,1.0357458591461182,0.655403011989,97.9998440632,226.061689168,-170.019,253.366813669,24.1059,0.655403011989,164.736,63,54.46961450576782,62,0.1391432285308838,-169.883,0.42292426343,0.135651,0.00963522,0.655056267056,2.94472e+10,82.19,3369.4062139987946,0.0,164.719821017,0.999063,6.37272053993,373.231405343
164.681,164.707038427,9.356841325759888,685.533224625,1.134911298751831,0.688901714997,110.430877411,219.868617018,-169.061,258.028213122,24.1057,0.688901714997,164.713,61,55.44594359397888,63,0.1513197422027588,-168.942,0.255230946576,0.119537,0.00997972,0.689002062282,2.94431e+10,82.871,3424.9837357997894,0.0,164.693957021,0.999055,6.39501051487,386.128811224
164.679,164.711587482,9.350867509841919,879.057345569,1.1192944049835205,0.605806448257,123.238410385,172.936820743,-179.577,268.301643831,24.1029,0.605806448257,164.716,57,54.20502996444702,64,0.1480236053466797,-179.459,0.244561035916,0.117249,0.00964821,0.605168769667,2.93606e+10,82.7479,3479.3674879074097,0.0,164.694616782,0.99889,6.39189713533,411.906537477
164.689,164.72025505,9.273511171340942,763.565627728,1.041994333267212,0.598528495351,105.061262539,236.494585788,-176.681,266.258759579,24.1061,0.598528495351,164.723,59,53.720722913742065,65,0.14140915870666504,-176.576,-0.39161461489,0.104858,0.00981217,0.598180437779,2.94531e+10,83.2844,3533.220935821533,0.0,164.701833482,0.999075,6.41279210716,404.162233444
164.807,164.840413945,9.488933801651001,634.44931953,1.0644149780273438,0.740786327197,103.220451165,185.062974552,-170.827,247.265554082,24.1068,0.740786327197,164.846,65,54.217809200286865,66,0.14220380783081055,-170.715,0.512946339097,0.112,0.00991091,0.740463477497,2.94746e+10,83.5105,3587.58097076416,0.0,164.822702962,0.999118,6.43069328993,361.784840046
164.561,164.595067934,9.543293952941895,1177.2237888,1.0685632228851318,0.417745581931,151.882524519,212.709384978,-171.098,257.103690405,24.1059,0.417745581931,164.602,61,54.343050718307495,67,0.14256691932678223,-170.974,-2.57990271621,0.123672,0.0099061,0.417693821482,2.94486e+10,84.8186,3642.0592160224915,0.0,164.573086099,0.999067,6.47007090098,392.159888762
164.025,164.060248528,9.15034556388855,627.926418481,1.014127254486084,0.614133790169,84.2889678691,220.949815304,-170.563,252.937748908,24.1041,0.614133790169,164.065,62,54.03320360183716,68,0.13474535942077637,-170.453,0.149782052503,0.109421,0.00977281,0.614213349135,2.93943e+10,82.4203,3696.2295813560486,0.0,164.041448244,0.998959,6.40861597643,371.376668321
