AverageReturn,Perplexity,AverageY,AverageDiscountedReturn,NumTrajs,MaxReturn,ItrTime,ProcessExecTime,Time,LossAfter,LossBefore,StdReturn,ExplainedVariance,AveragePolicyStd,AverageQ,AverageAbsY,AverageQLoss,MinReturn,MeanKLBefore,MeanKL,AbsLearnSignalNew,dLoss,EnvExecTime,AbsLearnSignal,PolicyExecTime,AverageAbsQYDiff,Iteration,AbsLearnSignalOld,AverageAbsQ,Entropy
373.941427949,2.93207e+10,163.543917426,256.084590933,65,722.785605447,56.6878616809845,0.1466677188873291,3382.931399345398,-164.17,-164.07,97.9874676839,0.609372503714,0.99881,163.533,163.551272839,76.1711,202.863368828,0.0,0.00970162,0.743549700991,0.0998077,9.2004976272583,0.743549700991,1.1099584102630615,6.11149259077,60,0.744443499788,163.571,24.1016
359.910656127,2.94818e+10,163.642651478,251.91919099,68,536.89014105,55.92241549491882,0.14824986457824707,3438.9810144901276,-163.205,-163.105,70.076661771,0.207790073146,0.999132,163.63,163.650517814,76.602,143.663102693,0.0,0.00928683,0.596085973257,0.100784,9.045279502868652,0.596085973257,1.092463731765747,6.11741613348,61,0.595765240592,163.667,24.107
361.084361149,2.95464e+10,163.417368517,250.993505907,68,758.25194815,55.572875022888184,0.14680743217468262,3494.681613445282,-165.622,-165.517,91.5841814525,0.648575331362,0.999262,163.405,163.424853555,75.4745,230.726807428,0.0,0.00968625,0.718072813769,0.104401,9.026184797286987,0.718072813769,1.0989782810211182,6.09618920212,62,0.718065382284,163.44,24.1092
381.930525341,2.94974e+10,163.611229591,260.266991016,65,647.752606111,56.59926772117615,0.15064311027526855,3551.4069578647614,-165.519,-165.423,95.2668331652,0.37637727882,0.999165,163.6,163.618998615,75.5582,235.338650509,0.0,0.00957932,0.634711775084,0.0963898,9.282453775405884,0.634711775084,1.1293962001800537,6.06524883786,63,0.635155431013,163.637,24.1076
368.355674328,2.96176e+10,163.760310455,254.494758623,67,693.922979953,55.72194242477417,0.14948654174804688,3607.2578868865967,-166.656,-166.573,90.0038359364,0.521681889951,0.999406,163.751,163.769177568,74.1554,247.219396567,0.0,0.00643569,0.717059621263,0.0828552,9.32254934310913,0.717059621263,1.1302447319030762,6.0217787696,64,0.716900076488,163.785,24.1116
377.625719118,2.96321e+10,163.872051844,258.706276185,65,681.466224175,56.96974515914917,0.15038609504699707,3664.3577647209167,-170.042,-169.937,93.5681257309,0.0782058134179,0.999435,163.859,163.880690814,75.7639,229.116008626,0.0,0.00644152,0.510229539007,0.105408,9.2660973072052,0.510229539007,1.1212880611419678,6.05612151203,65,0.510342254084,163.895,24.1121
358.168819721,2.95988e+10,164.121025194,249.976988009,68,656.435193504,56.105438232421875,0.1516430377960205,3720.596399307251,-164.937,-164.839,82.1850311349,-0.135934690895,0.999369,164.109,164.130576158,75.7691,219.541478419,0.0,0.00767907,0.442665380449,0.0978088,9.584957361221313,0.442665380449,1.166855812072754,6.07870357937,66,0.442818218949,164.146,24.111
383.641594028,2.9749e+10,164.27604599,261.237065725,65,733.144024014,56.77994132041931,0.15009737014770508,3777.501229286194,-169.057,-168.956,97.556744211,0.565848681567,0.999667,164.266,164.2848582,75.8825,227.794572792,0.0,0.00987135,0.722781217662,0.100845,9.4413902759552,0.722781217662,1.1279025077819824,6.07832805277,67,0.72262123368,164.302,24.1161
379.390882207,2.97334e+10,164.205429242,258.834586574,65,666.771316405,57.137473344802856,0.15482831001281738,3834.7704405784607,-168.951,-168.852,99.3307634803,0.411992084417,0.999636,164.193,164.215242,76.2427,227.908196872,0.0,0.0092592,0.696625932072,0.098526,9.474810123443604,0.696625932072,1.146317481994629,6.05876220418,68,0.696479993669,164.232,24.1155
387.096825267,2.97703e+10,164.024211844,264.232778794,65,600.27674207,56.33887577056885,0.15235304832458496,3891.2382373809814,-165.031,-164.938,77.9570186407,0.326378565356,0.99971,164.014,164.035227081,74.6515,245.607499487,0.0,0.00997222,0.672938038089,0.0926514,9.325663805007935,0.672938038089,1.147230625152588,6.04226352242,69,0.672994692804,164.053,24.1168
